cluster gene avg_log2FC p_val
T4 LTB 1.95568146286053 0
T4 IL7R 1.89837185035692 0
T4 MAL 1.74701659101721 0
T4 LDHB 1.60264927142418 0
T4 TCF7 1.44296696906056 0
T4 LEF1 1.36935858764016 0
T4 NOSIP 1.3252629058222 0
T4 FLT3LG 1.29571723995801 0
T4 TRAT1 1.17649386028046 0
T4 CCR7 1.15377264457114 0
T4 CD3E 1.1460982389994 0
T4 CAMK4 1.13837257091552 0
T4 CD27 1.13140853685302 0
T4 LEPROTL1 1.04910528551932 0
T4 AQP3 1.01030401648207 0
T4 RCAN3 0.995924242285237 0
T4 CD3D 0.994253085151138 0
T4 LINC00861 0.966542700487869 0
T4 RPS12 0.962138063469903 0
T4 PIK3IP1 0.959829107109704 0
T4 SARAF 0.922220555649223 0
T4 EEF1B2 0.911463336191083 0
T4 RPL5 0.88738950155346 0
T4 GIMAP7 0.887300093319658 0
T4 NPM1 0.885968839404638 0
T4 RPS3A 0.876213732782799 0
T4 C12orf57 0.872348289487035 0
T4 IL32 0.866464934103167 0
T4 RPS25 0.865054880023211 0
T4 RPS18 0.863268889888045 0
T4 RPSA 0.85620054674957 0
T4 RPS6 0.84894959383929 0
T4 TPT1 0.840245194414702 0
T4 EEF1G 0.828929428266429 0
T4 RPS5 0.823765774421474 0
T4 RPL32 0.822616845712358 0
T4 AES 0.819556774346298 0
T4 RPL3 0.817519559340018 0
T4 EEF1A1 0.810001037601767 0
T4 RPS3 0.806113624683191 0
T4 RPS4X 0.801392938770583 0
T4 RPL13 0.799665945730795 0
T4 RPS15A 0.788907734428324 0
T4 RPS27A 0.785616365836993 0
T4 RPL30 0.776892590654519 0
T4 RPL4 0.776887977058857 0
T4 RPS27 0.775965647042699 0
T4 RPL9 0.772464095349116 0
T4 CD3G 0.765209737613684 0
T4 RPS14 0.752075617424181 0
T4 RPL34 0.747892450064176 0
T4 RPL10 0.744366026838137 0
T4 RPL10A 0.742529258185426 0
T4 RPL36 0.733047425673011 0
T4 RPS29 0.732295275710699 0
T4 RPS8 0.714635359985932 0
T4 RPL14 0.709996188148222 0
T4 RPL22 0.708639335011286 0
T4 NOP53 0.701317046218378 0
T4 RPLP0 0.692093500442484 0
T4 RPS21 0.691400483623383 0
T4 RPL11 0.691243056877587 0
T4 RPS23 0.67166395353772 0
T4 RPL35A 0.671586732487476 0
T4 TOMM7 0.66916194484131 0
T4 RPS28 0.66377066166617 0
T4 HINT1 0.653570647528678 0
T4 RPL38 0.652438183397577 0
T4 RPL19 0.649099500031081 0
T4 RPS16 0.643087737126495 0
T4 RPL18 0.63489730957978 0
T4 RPL13A 0.634374875774045 0
T4 RPL39 0.622880230862505 0
T4 SPOCK2 0.845949498379185 2.20687199228857e-315
T4 EVL 0.674453294462149 4.76928285642032e-311
T4 LAT 0.778800568321691 1.71756591967793e-285
T4 ZFP36L2 0.652084792227945 1.02093190488479e-261
T4 TMEM123 0.7636744658754 2.86106278120108e-257
T4 ITM2A 0.739994722481827 3.15877100275416e-255
T4 EIF3E 0.676164164717955 6.50752129776336e-254
T4 HSPA8 0.686388860332684 5.06390947459385e-249
T4 OXNAD1 0.759472936688642 1.1558420921629e-234
T4 LCK 0.621101045429485 2.94497500089458e-229
T4 FYB1 0.636815649088014 7.90750097883722e-227
T4 CD5 0.703543703087903 1.48985059585523e-221
T4 SOD1 0.637362445992512 3.67942674660394e-221
T4 CD6 0.67298596300914 5.01839143388216e-206
T4 NDFIP1 0.687023431084198 2.36341314488148e-201
T4 ETS1 0.692950080361649 2.50003525861837e-199
T4 ARHGAP15 0.696680812768196 4.92357879530971e-194
T4 MGAT4A 0.661435082047745 4.01068088731007e-193
T4 CD28 0.622234759841897 1.5031043332873e-191
T4 PIM2 0.620850649697963 1.22521527734163e-176
T4 IL6ST 0.684182864314759 1.00455577887141e-175
T4 ITK 0.624616996671619 1.2099675973324e-174
T4 TRABD2A 0.626950206780768 1.3416049983123e-174
T4 PLSCR3 0.65385258954395 4.65552121341845e-172
T4 PASK 0.649885800741945 1.18876048701339e-157
T4 CORO1B 0.72682327854227 7.43729236218885e-155
T4 MYC 0.623248859726029 1.79847971505141e-152
B CD79A 4.57528456386934 0
B MS4A1 3.40315607711992 0
B TCL1A 3.13924582458494 0
B HLA-DQA1 2.85404459133538 0
B CD74 2.81273105007825 0
B IGHM 2.80956372017811 0
B CD79B 2.76590496281692 0
B RALGPS2 2.37327941351053 0
B LINC00926 2.36561399830276 0
B BANK1 2.32101853508016 0
B HLA-DRA 2.31523028147707 0
B FCER2 2.29066765300934 0
B HLA-DPB1 2.23870784672316 0
B CD37 2.19794608065584 0
B HLA-DPA1 2.09611332743343 0
B HLA-DQB1 2.00572222520404 0
B HLA-DRB1 1.65274914855848 0
B BTG1 1.31141822843518 0
B HLA-DMA 1.3075654010925 0
B LTB 0.901852282710814 0
B CD52 0.852067997168281 0
B FAM129C 1.98597758356687 1.16337580296166e-301
B MEF2C 1.80039619847295 6.25226606269595e-289
B CD83 1.88888596018661 3.35896732177825e-288
B LAPTM5 1.08824948241035 3.59396032763954e-276
B PLPP5 1.86823786131663 5.65065277790336e-259
B VPREB3 1.9039120416381 1.71488859726732e-255
B EZR 1.4239197241607 6.04883679740677e-254
B CXCR4 1.42243659972321 8.19827883507999e-249
B CD69 1.4424655840249 1.32550045865552e-238
B HVCN1 1.65744644326744 1.22013798872541e-236
B IGHD 1.68717760733714 4.14607037747387e-223
B BACH2 1.57179112644231 7.19880519470845e-210
B AFF3 1.49610310289109 3.84671553452475e-204
B FCRLA 1.45460373756044 4.60831947291695e-204
B SWAP70 1.43819361205075 4.87177213094933e-204
B CD19 1.42644317604337 1.86955561291465e-200
B SNX2 1.28970782580462 2.42736949319135e-187
B BLK 1.33398093411071 9.08522861412296e-184
B HLA-DMB 1.22811039361279 3.55526701038541e-178
B PDLIM1 1.23574415250117 3.04469510421717e-176
B HLA-DOB 1.34440404332984 3.14176265784898e-176
B RUBCNL 1.36559674436639 7.42071694479408e-175
B FCMR 1.1689744936464 3.54993043236596e-170
B RCSD1 1.14478882557181 1.22634867341919e-165
B SYNGR2 1.00646812230289 4.94681233113409e-164
B SPIB 1.32141208281493 2.14546235102031e-163
B GNG7 1.25866505335669 1.62737182850607e-161
B FOXP1 1.05359092672924 1.11118035888643e-159
B IGLC3 2.08945350162733 1.57048819669564e-158
B CD22 1.24817384032085 9.13414478082703e-157
B IGKC 1.43626163557709 9.02580964100945e-155
B CD40 1.25126286695895 7.87993553819698e-149
B ADAM28 1.28078474832688 2.83572833783522e-147
B TNFRSF13C 1.17300306318979 5.44204921280455e-146
B CD24 1.21416494076111 2.12202269432921e-145
B BIRC3 1.15946798468029 4.46678637453529e-145
B ISG20 0.997768871216699 4.85205758188208e-145
B ARHGAP24 1.17909499778713 2.2844065810428e-140
B FCRL1 1.17433328910266 5.10002023041355e-138
B RAB30 1.06583761445408 2.26044342243056e-133
B PKIG 1.09377341086141 2.53546481568667e-131
B TCF4 1.06014835732624 4.71415903068922e-131
B TSPAN13 1.09152156154648 3.63832111073136e-128
B TPD52 1.06229722442298 5.40901007052624e-127
B REL 0.930263357933916 2.1555654551362e-124
B IRF8 1.06876232920007 2.49397603474272e-124
B IGLL5 1.60585157020602 2.62432739543352e-123
B RHOH 0.951600794657605 4.06400983818312e-122
B EAF2 1.12210845536485 2.67052689605477e-120
B JCHAIN 1.16580859799233 8.78998943318667e-120
B BLNK 0.98834900431513 1.74744059352046e-117
B COBLL1 0.951601807311076 2.39039018949091e-114
B CD72 1.05232400911721 2.01810821823006e-113
B PELI1 1.15211742477155 3.40270869204524e-113
B PNOC 0.992742319405189 5.49444838748026e-113
B IL4R 1.2084525107238 1.681616899678e-112
B PAX5 0.978150544618259 1.310566116731e-111
B CDCA7L 0.960963703086315 2.24783594198164e-110
B SMIM14 0.987007605351221 5.73602121090068e-110
B LINC01857 1.03682162730708 2.34928262548258e-109
B MARCH1 0.953222022141741 4.84810656163596e-103
B IFT57 0.959932327851744 1.99150969211616e-102
B PDE4B 0.969348303723974 3.19737974664252e-102
B TSPAN3 0.851988165169613 7.07892113327954e-101
B POU2AF1 0.856620187185053 1.27554719815963e-99
B SNX9 1.12040289100844 2.12828125251985e-99
B PMAIP1 0.88839459192638 4.28557268787078e-96
B CXXC5 0.906676855350626 1.70332913076127e-94
B YBX3 1.11415301361932 5.43636141804042e-94
B ADK 0.916358735816308 2.9815289649781e-93
B CYB561A3 0.913636662277551 7.43335436108239e-93
B SNX22 0.862070625691765 2.04940558633516e-92
B MZB1 0.858763026366307 2.75903796882734e-91
B STX7 0.914757713882046 8.18735160057531e-90
B BCL7A 0.879643914677196 1.88249920435528e-89
B ATF7IP 0.846712876291825 1.32104477343989e-84
B PPP1R14A 0.848775358034279 3.01899544529281e-84
B IGLC2 0.987143357539674 5.17621728490785e-80
B IGKV3-20 3.67346997794216 5.71248898790661e-69
myeloid S100A8 6.55219223028528 0
myeloid S100A9 6.2443965968678 0
myeloid LYZ 5.68874581967625 0
myeloid CST3 5.16819088896559 0
myeloid FCN1 4.67809170573626 0
myeloid S100A12 4.13826363960868 0
myeloid SERPINA1 4.03109941785486 0
myeloid IFITM3 3.94224433818378 0
myeloid AIF1 3.92984224957488 0
myeloid LST1 3.55120497971546 0
