cluster gene avg_log2FC p_val
T4_Naive MAL 1.50127659544459 0
T4_Naive CCR7 1.49101748053121 0
T4_Naive LEF1 1.46922381269899 0
T4_Naive TCF7 1.46475917073872 0
T4_Naive IL7R 1.36149585702508 0
T4_Naive LDHB 1.34591353983746 0
T4_Naive NOSIP 1.28181608572482 0
T4_Naive LTB 1.18976732953545 0
T4_Naive EEF1B2 0.968941813446453 0
T4_Naive RPS3A 0.946406484859221 0
T4_Naive CD3E 0.937320063607328 0
T4_Naive RPS12 0.926505005575806 0
T4_Naive C12orf57 0.923423654035321 0
T4_Naive RPL5 0.888923473782159 0
T4_Naive RPS5 0.871351101340392 0
T4_Naive RPL32 0.859370267194405 0
T4_Naive NPM1 0.831504013886445 0
T4_Naive EEF1G 0.828205029222408 0
T4_Naive RPL30 0.809012971714078 0
T4_Naive RPL9 0.792346360023323 0
T4_Naive RPS25 0.788684054692932 0
T4_Naive RPS6 0.776879549449593 0
T4_Naive RPS4X 0.776703032521629 0
T4_Naive RPS14 0.77505456744603 0
T4_Naive RPS27A 0.773393156442766 0
T4_Naive RPL22 0.770617233482308 0
T4_Naive RPS3 0.755991427695203 0
T4_Naive RPS15A 0.753953020830126 0
T4_Naive RPS23 0.753681383424103 0
T4_Naive RPL13 0.747554456021377 0
T4_Naive RPL34 0.745187849290125 0
T4_Naive RPS13 0.740109829552949 0
T4_Naive RPS18 0.739060971986075 0
T4_Naive RPL3 0.738395154291599 0
T4_Naive RPL35A 0.732890011286329 0
T4_Naive TPT1 0.72630376569791 0
T4_Naive RPS8 0.72512980881208 0
T4_Naive RPL11 0.715447893538483 0
T4_Naive RPL10 0.704110532614544 0
T4_Naive EEF1A1 0.703956739690122 0
T4_Naive RPS27 0.702535882805707 0
T4_Naive RPSA 0.695771534139723 0
T4_Naive RPL10A 0.693300309581863 0
T4_Naive RPL4 0.689497933860128 0
T4_Naive RPS21 0.689380236537906 0
T4_Naive RPL19 0.675939490763507 0
T4_Naive RPL14 0.671798993530076 0
T4_Naive RPL18 0.656982384260539 0
T4_Naive RPS28 0.645432441606422 0
T4_Naive RPL36 0.621030861112032 0
T4_Naive RPL24 0.620464706543065 0
T4_Naive RPL39 0.610622658769504 0
T4_Naive RPS16 0.60051024843844 0
T4_Naive RPL29 0.599397786889193 0
T4_Naive RPL37 0.585797480127083 0
T4_Naive RPLP2 0.57847955521299 0
T4_Naive CD3D 0.775461664777337 2.00791302151635e-315
T4_Naive RPL21 0.599150149702483 1.49985431925579e-292
T4_Naive RPL7 0.575629802784677 6.40993966634594e-285
T4_Naive RPS29 0.5891110018452 7.23910674487986e-278
T4_Naive SARAF 0.804380663320326 1.31662569009965e-276
T4_Naive TOMM7 0.694159543957837 9.92172439386321e-268
T4_Naive LINC00861 1.15050660516986 3.50768644556175e-266
T4_Naive CAMK4 1.13949341761074 3.79056847161444e-256
T4_Naive FLT3LG 1.05472809004314 1.10582808649453e-251
T4_Naive GIMAP7 0.920496502508909 3.13232628666639e-217
T4_Naive PIK3IP1 1.02029934264547 4.43179062239415e-211
T4_Naive NOP53 0.720947547538651 2.04679806406487e-204
T4_Naive RPL38 0.61565024269755 4.91855840015927e-198
T4_Naive LEPROTL1 0.767876555985445 1.06618609424224e-194
T4_Naive AES 0.66212772374812 9.04632723752442e-194
T4_Naive CD27 0.946301170961989 1.32177678267104e-192
T4_Naive TRAT1 0.988774868898132 1.97457837306833e-186
T4_Naive RCAN3 0.920940917872557 8.49934707500323e-170
T4_Naive OXNAD1 0.858574846025083 4.46581335889151e-155
T4_Naive EIF3E 0.695202307243457 1.38131433329778e-151
T4_Naive NDFIP1 0.788896619655526 3.5613975315268e-150
T4_Naive SELL 0.756021320392367 5.065656669238e-149
T4_Naive TRABD2A 0.79368004858373 7.92133013047551e-132
T4_Naive ADTRP 0.75627709400075 7.54785694536449e-123
T4_Naive PCED1B 0.734594696914515 2.19908644082326e-110
T4_Naive MGAT4A 0.65434921579767 3.97494241451591e-102
T4_Naive IL6ST 0.717271996487795 1.02379654535471e-101
T4_Naive ETS1 0.66168394001368 2.36926353964861e-100
T4_Naive ABLIM1 0.659557504121028 4.17247400769444e-99
T4_Naive MYC 0.693773336935061 3.47326711899517e-97
T4_Naive PRMT2 0.606115104959456 3.49950201737941e-97
T4_Naive TMEM123 0.625740573855233 5.68768242857987e-95
T4_Naive EPHX2 0.622413607406128 3.55705491285451e-94
T4_Naive RIPOR2 0.597967368299223 1.49273094513671e-91
T4_Naive ITGA6 0.623379107058592 4.74833999110778e-91
T4_Naive SATB1 0.635572178880756 5.93159543842214e-90
